collision_id,crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code1,vehicle_type_code2
4407674,2021-04-15T00:00:00.000,18:15,BROOKLYN,11211.0,40.70955,-73.95887,HAVEMEYER STREET,,SOUTH 5 STREET,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4407708,2021-04-15T00:00:00.000,19:30,,,40.733376,-73.86665,LONG ISLAND EXPRESSWAY,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,Sedan,Sedan
4408396,2021-04-14T00:00:00.000,21:04,BROOKLYN,11206.0,40.700356,-73.95732,,693 BEDFORD AVENUE,,1,0,0,0,0,0,1,0,Drugs (illegal),Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4407152,2021-04-14T00:00:00.000,1:40,,,40.83801,-73.87329,BRONX RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Other Vehicular,Unsafe Speed,Sedan,Sedan
4407862,2021-04-16T00:00:00.000,18:00,,,40.66584,-73.75551,BELT PARKWAY,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4407636,2021-04-15T00:00:00.000,12:05,,,40.761436,-73.76995,BELL BOULEVARD,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,Station Wagon/Sport Utility Vehicle,
4407792,2021-04-16T00:00:00.000,11:00,QUEENS,11368.0,40.74958,-73.86541,,100-10 ROOSEVELT AVENUE,,1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,Station Wagon/Sport Utility Vehicle,Bike
4407853,2021-04-16T00:00:00.000,17:00,QUEENS,11366.0,40.73197,-73.78651,73 AVENUE,,184 STREET,5,0,0,0,0,0,5,0,Traffic Control Disregarded,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4408205,2021-04-16T00:00:00.000,12:00,,,40.76249,-73.839584,VAN WYCK EXPWY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Box Truck,Dump
4407945,2021-04-16T00:00:00.000,20:27,,,40.668507,-73.779625,140 AVENUE,,155 STREET,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4408118,2021-04-15T00:00:00.000,18:25,BROOKLYN,11203.0,40.638268,-73.93187,,1411 SCHENECTADY AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
